perfume_id,brand,perfume_name,full_name,perfume_type,family,top_notes,middle_notes,base_notes,occasions,moods,professional_description,customer_query_example,all_notes
5652,Maison Francis Kurkdjian,Passion Intense,Maison Francis Kurkdjian Passion Intense,Intense,Floral,"Lavender, Lime","Clove, Jasmine","Tobacco, Vanilla","formal event, night out","luxurious, confident","Maison Francis Kurkdjian Passion Intense is a captivating Floral fragrance. It opens with vibrant notes of Lavender and Lime. The heart reveals Clove and Jasmine. Base notes of Tobacco, Vanilla provide a lasting and memorable impression.",Need floral perfume for formal event and night out,"Lavender, Lime, Clove, Jasmine, Tobacco, Vanilla"
5653,Le Labo,Le Secret,Le Labo Le Secret,Pour Homme,Aromatic,"Lemon, Cardamom, Rose","Ylang-ylang, Freesia, Violet","Leather, Cedar",office,mysterious,"Le Labo Le Secret is a captivating Aromatic fragrance. It opens with vibrant notes of Lemon, Cardamom and Rose. The heart reveals Ylang-ylang, Freesia and Violet. Base notes of Leather, Cedar provide a lasting and memorable impression.",Need aromatic with Ylang-ylang for office,"Lemon, Cardamom, Rose, Ylang-ylang, Freesia, Violet, Leather, Cedar"
5654,Armani,Noir Elixir,Armani Noir Elixir,Pour Homme,Green,"Orange, Mandarin, Petitgrain, Bergamot","Orange Blossom, Rose, Ylang-ylang","Cocoa, Tobacco","night out, beach day","confident, dreamy","Armani Noir Elixir is a captivating Green fragrance. It opens with vibrant notes of Orange, Mandarin, Petitgrain and Bergamot. The heart reveals Orange Blossom, Rose and Ylang-ylang. Base notes of Cocoa, Tobacco provide a lasting and memorable impression.",I'm looking for something confident for night out,"Orange, Mandarin, Petitgrain, Bergamot, Orange Blossom, Rose, Ylang-ylang, Cocoa, Tobacco"
5655,Valentino,Essence Elixir,Valentino Essence Elixir,Intense,Citrus,"Neroli, Pink Pepper, Cardamom","Clove, Ylang-ylang, Cinnamon","Cashmere Wood, Patchouli, Benzoin","summer, daily wear","relaxed, playful","Valentino Essence Elixir is a captivating Citrus fragrance. It opens with vibrant notes of Neroli, Pink Pepper and Cardamom. The heart reveals Clove, Ylang-ylang and Cinnamon. Base notes of Cashmere Wood, Patchouli, Benzoin provide a lasting and memorable impression.","Want to smell relaxed and playful, maybe something citrus","Neroli, Pink Pepper, Cardamom, Clove, Ylang-ylang, Cinnamon, Cashmere Wood, Patchouli, Benzoin"
5656,Narciso Rodriguez,Absolute,Narciso Rodriguez Absolute,Extreme,Aquatic,"Jasmine, Mandarin, Saffron","Jasmine, Gardenia","Amber, Patchouli","fall, office",playful,"Narciso Rodriguez Absolute is a captivating Aquatic fragrance. It opens with vibrant notes of Jasmine, Mandarin and Saffron. The heart reveals Jasmine and Gardenia. Base notes of Amber, Patchouli provide a lasting and memorable impression.",Looking for fall fragrance with Amber base,"Jasmine, Mandarin, Saffron, Jasmine, Gardenia, Amber, Patchouli"
5657,Jo Malone,Exotic,Jo Malone Exotic,Elixir,Oriental,"Petitgrain, Peach, Orange","Jasmine, Freesia, Tuberose","Tobacco, Labdanum, Cocoa",winter,elegant,"Jo Malone Exotic is a captivating Oriental fragrance. It opens with vibrant notes of Petitgrain, Peach and Orange. The heart reveals Jasmine, Freesia and Tuberose. Base notes of Tobacco, Labdanum, Cocoa provide a lasting and memorable impression.",I'm looking for something elegant for winter,"Petitgrain, Peach, Orange, Jasmine, Freesia, Tuberose, Tobacco, Labdanum, Cocoa"
5658,Hermès,Orchid,Hermès Orchid,Absolu,Gourmand,"Orange, Grapefruit, Bergamot, Blackcurrant","Lavender, Geranium, Clove","Leather, Cashmere Wood","date night, winter","dreamy, fresh","Hermès Orchid is a captivating Gourmand fragrance. It opens with vibrant notes of Orange, Grapefruit, Bergamot and Blackcurrant. The heart reveals Lavender, Geranium and Clove. Base notes of Leather, Cashmere Wood provide a lasting and memorable impression.",I'm looking for something dreamy for date night,"Orange, Grapefruit, Bergamot, Blackcurrant, Lavender, Geranium, Clove, Leather, Cashmere Wood"
5659,Hugo Boss,Essence,Hugo Boss Essence,Parfum,Green,"Cardamom, Lime","Honeysuckle, Ylang-ylang","Sandalwood, Cashmere Wood, Vanilla","date night, casual",sensual,"Hugo Boss Essence is a captivating Green fragrance. It opens with vibrant notes of Cardamom and Lime. The heart reveals Honeysuckle and Ylang-ylang. Base notes of Sandalwood, Cashmere Wood, Vanilla provide a lasting and memorable impression.","Need a perfume with Cardamom smell, good for date night","Cardamom, Lime, Honeysuckle, Ylang-ylang, Sandalwood, Cashmere Wood, Vanilla"
5660,Gucci,Exotic Elixir,Gucci Exotic Elixir,Elixir,Fresh,"Grapefruit, Saffron","Lavender, Honeysuckle","Vetiver, White Musk",evening,confident,"Gucci Exotic Elixir is a captivating Fresh fragrance. It opens with vibrant notes of Grapefruit and Saffron. The heart reveals Lavender and Honeysuckle. Base notes of Vetiver, White Musk provide a lasting and memorable impression.","Want to smell confident and confident, maybe something fresh","Grapefruit, Saffron, Lavender, Honeysuckle, Vetiver, White Musk"
5661,Creed,Le Noir,Creed Le Noir,Pour Homme,Aquatic,"Rose, Petitgrain, Apple","Honeysuckle, Lily, Nutmeg","White Musk, Sandalwood, Oud","daily wear, fall",elegant,"Creed Le Noir is a captivating Aquatic fragrance. It opens with vibrant notes of Rose, Petitgrain and Apple. The heart reveals Honeysuckle, Lily and Nutmeg. Base notes of White Musk, Sandalwood, Oud provide a lasting and memorable impression.",Looking for daily wear fragrance with White Musk base,"Rose, Petitgrain, Apple, Honeysuckle, Lily, Nutmeg, White Musk, Sandalwood, Oud"
5662,Dior,Midnight Nectar,Dior Midnight Nectar,Eau de Parfum,Gourmand,"Jasmine, Lavender","Nutmeg, Gardenia","Vetiver, Vanilla, Tonka Bean",night out,playful,"Dior Midnight Nectar is a captivating Gourmand fragrance. It opens with vibrant notes of Jasmine and Lavender. The heart reveals Nutmeg and Gardenia. Base notes of Vetiver, Vanilla, Tonka Bean provide a lasting and memorable impression.","I love Nutmeg and Jasmine, what should I get?","Jasmine, Lavender, Nutmeg, Gardenia, Vetiver, Vanilla, Tonka Bean"
5663,Tom Ford,Intense Oud,Tom Ford Intense Oud,Pour Femme,Fresh,"Mint, Saffron, Bergamot, Mandarin","Violet, Geranium, Freesia","Cocoa, Musk",fall,"playful, relaxed","Tom Ford Intense Oud is a captivating Fresh fragrance. It opens with vibrant notes of Mint, Saffron, Bergamot and Mandarin. The heart reveals Violet, Geranium and Freesia. Base notes of Cocoa, Musk provide a lasting and memorable impression.",Need fresh perfume for fall and fall,"Mint, Saffron, Bergamot, Mandarin, Violet, Geranium, Freesia, Cocoa, Musk"
5664,Givenchy,Crystal,Givenchy Crystal,Pour Femme,Oriental,"Jasmine, Lemon","Orchid, Orange Blossom","White Musk, Patchouli, Incense","formal event, summer","mysterious, romantic","Givenchy Crystal is a captivating Oriental fragrance. It opens with vibrant notes of Jasmine and Lemon. The heart reveals Orchid and Orange Blossom. Base notes of White Musk, Patchouli, Incense provide a lasting and memorable impression.",Need oriental with Orchid for formal event,"Jasmine, Lemon, Orchid, Orange Blossom, White Musk, Patchouli, Incense"
5665,Valentino,La Oud,Valentino La Oud,Extreme,Green,"Rose, Jasmine","Iris, Jasmine, Rose","Labdanum, Patchouli, Cocoa",fall,elegant,"Valentino La Oud is a captivating Green fragrance. It opens with vibrant notes of Rose and Jasmine. The heart reveals Iris, Jasmine and Rose. Base notes of Labdanum, Patchouli, Cocoa provide a lasting and memorable impression.","Want to smell elegant and elegant, maybe something green","Rose, Jasmine, Iris, Jasmine, Rose, Labdanum, Patchouli, Cocoa"
5666,Carolina Herrera,Noir,Carolina Herrera Noir,Eau de Parfum,Aquatic,"Mandarin, Cardamom","Gardenia, Orange Blossom","Cedar, White Musk, Benzoin",daily wear,"playful, fresh","Carolina Herrera Noir is a captivating Aquatic fragrance. It opens with vibrant notes of Mandarin and Cardamom. The heart reveals Gardenia and Orange Blossom. Base notes of Cedar, White Musk, Benzoin provide a lasting and memorable impression.","Want to smell playful and fresh, maybe something aquatic","Mandarin, Cardamom, Gardenia, Orange Blossom, Cedar, White Musk, Benzoin"
5667,Viktor & Rolf,Absolute Sensation,Viktor & Rolf Absolute Sensation,Extreme,Aromatic,"Peach, Apple","Geranium, Orange Blossom","White Musk, Cocoa, Amber",office,dreamy,"Viktor & Rolf Absolute Sensation is a captivating Aromatic fragrance. It opens with vibrant notes of Peach and Apple. The heart reveals Geranium and Orange Blossom. Base notes of White Musk, Cocoa, Amber provide a lasting and memorable impression.",Looking for office fragrance with White Musk base,"Peach, Apple, Geranium, Orange Blossom, White Musk, Cocoa, Amber"
5668,Paco Rabanne,Orchid Pure,Paco Rabanne Orchid Pure,Extreme,Oriental,"Blackcurrant, Basil, Bergamot","Cinnamon, Nutmeg, Freesia","White Musk, Leather, Tonka Bean",romantic dinner,relaxed,"Paco Rabanne Orchid Pure is a captivating Oriental fragrance. It opens with vibrant notes of Blackcurrant, Basil and Bergamot. The heart reveals Cinnamon, Nutmeg and Freesia. Base notes of White Musk, Leather, Tonka Bean provide a lasting and memorable impression.",Need oriental perfume for romantic dinner and romantic dinner,"Blackcurrant, Basil, Bergamot, Cinnamon, Nutmeg, Freesia, White Musk, Leather, Tonka Bean"
5669,Versace,Bleu Vanilla,Versace Bleu Vanilla,Eau de Toilette,Gourmand,"Rose, Lemon, Peach, Grapefruit","Nutmeg, Violet, Iris","Cashmere Wood, Benzoin, Patchouli",fall,fresh,"Versace Bleu Vanilla is a captivating Gourmand fragrance. It opens with vibrant notes of Rose, Lemon, Peach and Grapefruit. The heart reveals Nutmeg, Violet and Iris. Base notes of Cashmere Wood, Benzoin, Patchouli provide a lasting and memorable impression.","I love Nutmeg and Rose, what should I get?","Rose, Lemon, Peach, Grapefruit, Nutmeg, Violet, Iris, Cashmere Wood, Benzoin, Patchouli"
5670,Jean Paul Gaultier,White Femme,Jean Paul Gaultier White Femme,Pour Homme,Oriental,"Saffron, Cardamom, Lemon, Mandarin","Orchid, Freesia, Geranium","Tobacco, Cashmere Wood","fall, night out",sensual,"Jean Paul Gaultier White Femme is a captivating Oriental fragrance. It opens with vibrant notes of Saffron, Cardamom, Lemon and Mandarin. The heart reveals Orchid, Freesia and Geranium. Base notes of Tobacco, Cashmere Wood provide a lasting and memorable impression.",Looking for fall fragrance with Tobacco base,"Saffron, Cardamom, Lemon, Mandarin, Orchid, Freesia, Geranium, Tobacco, Cashmere Wood"
5671,Prada,Dream,Prada Dream,Unisex,Gourmand,"Pink Pepper, Neroli","Tuberose, Geranium, Cardamom","Cocoa, Leather",summer,"energetic, romantic","Prada Dream is a captivating Gourmand fragrance. It opens with vibrant notes of Pink Pepper and Neroli. The heart reveals Tuberose, Geranium and Cardamom. Base notes of Cocoa, Leather provide a lasting and memorable impression.",Need gourmand perfume for summer and summer,"Pink Pepper, Neroli, Tuberose, Geranium, Cardamom, Cocoa, Leather"
5672,Lancôme,Amber Orchid,Lancôme Amber Orchid,Unisex,Citrus,"Lemon, Pear, Peach","Violet, Lavender","Vanilla, Sandalwood",casual,elegant,"Lancôme Amber Orchid is a captivating Citrus fragrance. It opens with vibrant notes of Lemon, Pear and Peach. The heart reveals Violet and Lavender. Base notes of Vanilla, Sandalwood provide a lasting and memorable impression.",I'm looking for something elegant for casual,"Lemon, Pear, Peach, Violet, Lavender, Vanilla, Sandalwood"
5673,Carolina Herrera,Gold Rose,Carolina Herrera Gold Rose,Unisex,Aromatic,"Orange, Pear, Lime, Grapefruit","Peony, Cinnamon","Cashmere Wood, Sandalwood",party,romantic,"Carolina Herrera Gold Rose is a captivating Aromatic fragrance. It opens with vibrant notes of Orange, Pear, Lime and Grapefruit. The heart reveals Peony and Cinnamon. Base notes of Cashmere Wood, Sandalwood provide a lasting and memorable impression.",What has Cashmere Wood and works for party?,"Orange, Pear, Lime, Grapefruit, Peony, Cinnamon, Cashmere Wood, Sandalwood"
5674,Byredo,Midnight Rose,Byredo Midnight Rose,Pour Homme,Floral,"Petitgrain, Rose","Tuberose, Gardenia","Benzoin, Cocoa","evening, fall","elegant, confident","Byredo Midnight Rose is a captivating Floral fragrance. It opens with vibrant notes of Petitgrain and Rose. The heart reveals Tuberose and Gardenia. Base notes of Benzoin, Cocoa provide a lasting and memorable impression.",Need floral with Tuberose for evening,"Petitgrain, Rose, Tuberose, Gardenia, Benzoin, Cocoa"
5675,Jean Paul Gaultier,Mystère,Jean Paul Gaultier Mystère,Intense,Chypre,"Neroli, Mandarin","Tuberose, Violet, Cinnamon","Musk, Incense","wedding, date night",fresh,"Jean Paul Gaultier Mystère is a captivating Chypre fragrance. It opens with vibrant notes of Neroli and Mandarin. The heart reveals Tuberose, Violet and Cinnamon. Base notes of Musk, Incense provide a lasting and memorable impression.",I'm looking for something fresh for wedding,"Neroli, Mandarin, Tuberose, Violet, Cinnamon, Musk, Incense"
5676,Gucci,Paradise,Gucci Paradise,Pour Homme,Green,"Bergamot, Basil, Pink Pepper","Tuberose, Geranium, Cardamom","Ambergris, Benzoin",fall,relaxed,"Gucci Paradise is a captivating Green fragrance. It opens with vibrant notes of Bergamot, Basil and Pink Pepper. The heart reveals Tuberose, Geranium and Cardamom. Base notes of Ambergris, Benzoin provide a lasting and memorable impression.",I want something like Gucci but more relaxed,"Bergamot, Basil, Pink Pepper, Tuberose, Geranium, Cardamom, Ambergris, Benzoin"
5677,Yves Saint Laurent,Nectar Pure,Yves Saint Laurent Nectar Pure,Eau de Toilette,Citrus,"Orange, Basil, Lime","Rose, Clove","Sandalwood, Tonka Bean, Vetiver","winter, casual","elegant, sophisticated","Yves Saint Laurent Nectar Pure is a captivating Citrus fragrance. It opens with vibrant notes of Orange, Basil and Lime. The heart reveals Rose and Clove. Base notes of Sandalwood, Tonka Bean, Vetiver provide a lasting and memorable impression.",Need citrus with Rose for winter,"Orange, Basil, Lime, Rose, Clove, Sandalwood, Tonka Bean, Vetiver"
5678,Viktor & Rolf,Desire,Viktor & Rolf Desire,Intense,Citrus,"Grapefruit, Neroli","Tuberose, Ylang-ylang","Benzoin, Vanilla",night out,luxurious,"Viktor & Rolf Desire is a captivating Citrus fragrance. It opens with vibrant notes of Grapefruit and Neroli. The heart reveals Tuberose and Ylang-ylang. Base notes of Benzoin, Vanilla provide a lasting and memorable impression.",Need citrus perfume for night out and night out,"Grapefruit, Neroli, Tuberose, Ylang-ylang, Benzoin, Vanilla"
5679,Armani,Diamond,Armani Diamond,Unisex,Green,"Basil, Cardamom, Jasmine","Cardamom, Clove, Geranium","Amber, Musk","formal event, night out",energetic,"Armani Diamond is a captivating Green fragrance. It opens with vibrant notes of Basil, Cardamom and Jasmine. The heart reveals Cardamom, Clove and Geranium. Base notes of Amber, Musk provide a lasting and memorable impression.",Need green perfume for formal event and night out,"Basil, Cardamom, Jasmine, Cardamom, Clove, Geranium, Amber, Musk"
5680,Bvlgari,Essence,Bvlgari Essence,Pour Homme,Oriental,"Blackcurrant, Jasmine, Lime, Basil","Geranium, Cardamom","Patchouli, Amber","winter, summer","relaxed, playful","Bvlgari Essence is a captivating Oriental fragrance. It opens with vibrant notes of Blackcurrant, Jasmine, Lime and Basil. The heart reveals Geranium and Cardamom. Base notes of Patchouli, Amber provide a lasting and memorable impression.",I want something like Bvlgari but more relaxed,"Blackcurrant, Jasmine, Lime, Basil, Geranium, Cardamom, Patchouli, Amber"
5681,Maison Francis Kurkdjian,Royal Essence,Maison Francis Kurkdjian Royal Essence,Absolu,Woody,"Peach, Lemon","Clove, Orange Blossom, Magnolia","Praline, Sandalwood","wedding, fall",energetic,"Maison Francis Kurkdjian Royal Essence is a captivating Woody fragrance. It opens with vibrant notes of Peach and Lemon. The heart reveals Clove, Orange Blossom and Magnolia. Base notes of Praline, Sandalwood provide a lasting and memorable impression.","Something perfect for wedding, makes me feel energetic","Peach, Lemon, Clove, Orange Blossom, Magnolia, Praline, Sandalwood"
5682,Maison Francis Kurkdjian,Exotic,Maison Francis Kurkdjian Exotic,Unisex,Citrus,"Mint, Lime","Rose, Iris, Nutmeg","Leather, Tonka Bean",evening,bold,"Maison Francis Kurkdjian Exotic is a captivating Citrus fragrance. It opens with vibrant notes of Mint and Lime. The heart reveals Rose, Iris and Nutmeg. Base notes of Leather, Tonka Bean provide a lasting and memorable impression.",Searching for a bold scent with Mint,"Mint, Lime, Rose, Iris, Nutmeg, Leather, Tonka Bean"
5683,Paco Rabanne,Desire Elixir,Paco Rabanne Desire Elixir,Pour Homme,Oriental,"Orange, Basil, Lime","Freesia, Gardenia, Ylang-ylang","Leather, Ambergris","beach day, summer",sophisticated,"Paco Rabanne Desire Elixir is a captivating Oriental fragrance. It opens with vibrant notes of Orange, Basil and Lime. The heart reveals Freesia, Gardenia and Ylang-ylang. Base notes of Leather, Ambergris provide a lasting and memorable impression.",What has Leather and works for beach day?,"Orange, Basil, Lime, Freesia, Gardenia, Ylang-ylang, Leather, Ambergris"
5684,Viktor & Rolf,Paradise,Viktor & Rolf Paradise,Elixir,Chypre,"Lavender, Petitgrain, Orange","Peony, Iris","Sandalwood, Cashmere Wood, Tobacco",office,"warm, elegant","Viktor & Rolf Paradise is a captivating Chypre fragrance. It opens with vibrant notes of Lavender, Petitgrain and Orange. The heart reveals Peony and Iris. Base notes of Sandalwood, Cashmere Wood, Tobacco provide a lasting and memorable impression.",Looking for office fragrance with Sandalwood base,"Lavender, Petitgrain, Orange, Peony, Iris, Sandalwood, Cashmere Wood, Tobacco"
5685,Jean Paul Gaultier,Le,Jean Paul Gaultier Le,Elixir,Green,"Jasmine, Grapefruit, Cardamom, Pear","Cardamom, Freesia, Tuberose","Praline, Patchouli, Tobacco","summer, spring",sensual,"Jean Paul Gaultier Le is a captivating Green fragrance. It opens with vibrant notes of Jasmine, Grapefruit, Cardamom and Pear. The heart reveals Cardamom, Freesia and Tuberose. Base notes of Praline, Patchouli, Tobacco provide a lasting and memorable impression.",Need green with Cardamom for summer,"Jasmine, Grapefruit, Cardamom, Pear, Cardamom, Freesia, Tuberose, Praline, Patchouli, Tobacco"
5686,Versace,Femme,Versace Femme,Pour Femme,Fresh,"Cardamom, Grapefruit, Basil","Lavender, Violet","Labdanum, Oud, Cedar","evening, daily wear","elegant, warm","Versace Femme is a captivating Fresh fragrance. It opens with vibrant notes of Cardamom, Grapefruit and Basil. The heart reveals Lavender and Violet. Base notes of Labdanum, Oud, Cedar provide a lasting and memorable impression.",Need fresh with Lavender for evening,"Cardamom, Grapefruit, Basil, Lavender, Violet, Labdanum, Oud, Cedar"
5687,Givenchy,Noir,Givenchy Noir,Pour Homme,Citrus,"Mandarin, Grapefruit, Peach","Tuberose, Lily, Peony","Vanilla, Patchouli, Vetiver",winter,"mysterious, elegant","Givenchy Noir is a captivating Citrus fragrance. It opens with vibrant notes of Mandarin, Grapefruit and Peach. The heart reveals Tuberose, Lily and Peony. Base notes of Vanilla, Patchouli, Vetiver provide a lasting and memorable impression.",What has Vanilla and works for winter?,"Mandarin, Grapefruit, Peach, Tuberose, Lily, Peony, Vanilla, Patchouli, Vetiver"
5688,Valentino,Amber,Valentino Amber,Eau de Toilette,Citrus,"Mandarin, Peach, Orange","Lily, Violet, Cinnamon","Ambergris, Labdanum, Incense",spring,"warm, sensual","Valentino Amber is a captivating Citrus fragrance. It opens with vibrant notes of Mandarin, Peach and Orange. The heart reveals Lily, Violet and Cinnamon. Base notes of Ambergris, Labdanum, Incense provide a lasting and memorable impression.",Need citrus with Lily for spring,"Mandarin, Peach, Orange, Lily, Violet, Cinnamon, Ambergris, Labdanum, Incense"
5689,Armani,Mystère Absolute,Armani Mystère Absolute,Elixir,Citrus,"Lime, Lavender","Honeysuckle, Cinnamon","Musk, Sandalwood, Cedar","office, daily wear",luxurious,"Armani Mystère Absolute is a captivating Citrus fragrance. It opens with vibrant notes of Lime and Lavender. The heart reveals Honeysuckle and Cinnamon. Base notes of Musk, Sandalwood, Cedar provide a lasting and memorable impression.",Need citrus with Honeysuckle for office,"Lime, Lavender, Honeysuckle, Cinnamon, Musk, Sandalwood, Cedar"
5690,Valentino,Secret Pure,Valentino Secret Pure,Intense,Green,"Blackcurrant, Bergamot","Lily, Cinnamon","Vanilla, Incense, Benzoin","party, office",playful,"Valentino Secret Pure is a captivating Green fragrance. It opens with vibrant notes of Blackcurrant and Bergamot. The heart reveals Lily and Cinnamon. Base notes of Vanilla, Incense, Benzoin provide a lasting and memorable impression.",Need green with Lily for party,"Blackcurrant, Bergamot, Lily, Cinnamon, Vanilla, Incense, Benzoin"
5691,Prada,Essence,Prada Essence,Eau de Parfum,Fresh,"Blackcurrant, Orange","Geranium, Peony","Oakmoss, Ambergris",spring,dreamy,"Prada Essence is a captivating Fresh fragrance. It opens with vibrant notes of Blackcurrant and Orange. The heart reveals Geranium and Peony. Base notes of Oakmoss, Ambergris provide a lasting and memorable impression.",Need fresh perfume for spring and spring,"Blackcurrant, Orange, Geranium, Peony, Oakmoss, Ambergris"
5692,Byredo,Kiss,Byredo Kiss,Parfum,Chypre,"Jasmine, Basil, Mint, Pink Pepper","Peony, Clove, Orange Blossom","Musk, Labdanum",evening,confident,"Byredo Kiss is a captivating Chypre fragrance. It opens with vibrant notes of Jasmine, Basil, Mint and Pink Pepper. The heart reveals Peony, Clove and Orange Blossom. Base notes of Musk, Labdanum provide a lasting and memorable impression.",Need chypre perfume for evening and evening,"Jasmine, Basil, Mint, Pink Pepper, Peony, Clove, Orange Blossom, Musk, Labdanum"
5693,Hugo Boss,Royal Noir,Hugo Boss Royal Noir,Unisex,Oriental,"Basil, Neroli, Jasmine","Lavender, Violet, Tuberose","Cedar, Vanilla, Sandalwood","night out, romantic dinner","relaxed, elegant","Hugo Boss Royal Noir is a captivating Oriental fragrance. It opens with vibrant notes of Basil, Neroli and Jasmine. The heart reveals Lavender, Violet and Tuberose. Base notes of Cedar, Vanilla, Sandalwood provide a lasting and memorable impression.","Need a perfume with Basil smell, good for night out","Basil, Neroli, Jasmine, Lavender, Violet, Tuberose, Cedar, Vanilla, Sandalwood"
5694,Gucci,Rose,Gucci Rose,Extreme,Aromatic,"Pear, Apple, Lime","Jasmine, Violet, Geranium","Vanilla, Incense","formal event, date night",warm,"Gucci Rose is a captivating Aromatic fragrance. It opens with vibrant notes of Pear, Apple and Lime. The heart reveals Jasmine, Violet and Geranium. Base notes of Vanilla, Incense provide a lasting and memorable impression.",Looking for formal event fragrance with Vanilla base,"Pear, Apple, Lime, Jasmine, Violet, Geranium, Vanilla, Incense"
5695,Lancôme,Rouge,Lancôme Rouge,Elixir,Citrus,"Blackcurrant, Jasmine, Pear","Ylang-ylang, Freesia, Orchid","Musk, Benzoin","beach day, office","playful, warm","Lancôme Rouge is a captivating Citrus fragrance. It opens with vibrant notes of Blackcurrant, Jasmine and Pear. The heart reveals Ylang-ylang, Freesia and Orchid. Base notes of Musk, Benzoin provide a lasting and memorable impression.",Searching for a playful scent with Blackcurrant,"Blackcurrant, Jasmine, Pear, Ylang-ylang, Freesia, Orchid, Musk, Benzoin"
5696,Creed,Black Elixir,Creed Black Elixir,Parfum,Chypre,"Lemon, Orange","Rose, Cardamom, Orchid","White Musk, Cashmere Wood, Ambergris",evening,"romantic, luxurious","Creed Black Elixir is a captivating Chypre fragrance. It opens with vibrant notes of Lemon and Orange. The heart reveals Rose, Cardamom and Orchid. Base notes of White Musk, Cashmere Wood, Ambergris provide a lasting and memorable impression.",Searching for a romantic scent with Lemon,"Lemon, Orange, Rose, Cardamom, Orchid, White Musk, Cashmere Wood, Ambergris"
5697,Dolce & Gabbana,Diamond Mystère,Dolce & Gabbana Diamond Mystère,Eau de Parfum,Gourmand,"Pear, Lemon","Lavender, Violet","Praline, Cedar",wedding,luxurious,"Dolce & Gabbana Diamond Mystère is a captivating Gourmand fragrance. It opens with vibrant notes of Pear and Lemon. The heart reveals Lavender and Violet. Base notes of Praline, Cedar provide a lasting and memorable impression.",Looking for wedding fragrance with Praline base,"Pear, Lemon, Lavender, Violet, Praline, Cedar"
5698,Lancôme,Noir,Lancôme Noir,Eau de Toilette,Gourmand,"Rose, Orange, Lemon, Cardamom","Jasmine, Rose, Nutmeg","Tonka Bean, Benzoin",wedding,luxurious,"Lancôme Noir is a captivating Gourmand fragrance. It opens with vibrant notes of Rose, Orange, Lemon and Cardamom. The heart reveals Jasmine, Rose and Nutmeg. Base notes of Tonka Bean, Benzoin provide a lasting and memorable impression.",Looking for wedding fragrance with Tonka Bean base,"Rose, Orange, Lemon, Cardamom, Jasmine, Rose, Nutmeg, Tonka Bean, Benzoin"
5699,Calvin Klein,Exotic,Calvin Klein Exotic,Eau de Toilette,Floral,"Lavender, Pear, Basil","Ylang-ylang, Iris, Gardenia","Patchouli, Cocoa, Tobacco",fall,"energetic, luxurious","Calvin Klein Exotic is a captivating Floral fragrance. It opens with vibrant notes of Lavender, Pear and Basil. The heart reveals Ylang-ylang, Iris and Gardenia. Base notes of Patchouli, Cocoa, Tobacco provide a lasting and memorable impression.","I love Ylang-ylang and Lavender, what should I get?","Lavender, Pear, Basil, Ylang-ylang, Iris, Gardenia, Patchouli, Cocoa, Tobacco"
5700,Thierry Mugler,Wild,Thierry Mugler Wild,Pour Femme,Floral,"Apple, Petitgrain, Orange, Mint","Jasmine, Iris, Nutmeg","Leather, White Musk","fall, wedding",sophisticated,"Thierry Mugler Wild is a captivating Floral fragrance. It opens with vibrant notes of Apple, Petitgrain, Orange and Mint. The heart reveals Jasmine, Iris and Nutmeg. Base notes of Leather, White Musk provide a lasting and memorable impression.",Need floral with Jasmine for fall,"Apple, Petitgrain, Orange, Mint, Jasmine, Iris, Nutmeg, Leather, White Musk"
5701,Creed,Love,Creed Love,Pour Femme,Floral,"Orange, Lavender","Tuberose, Jasmine","Incense, Praline, Cocoa","casual, party","dreamy, romantic","Creed Love is a captivating Floral fragrance. It opens with vibrant notes of Orange and Lavender. The heart reveals Tuberose and Jasmine. Base notes of Incense, Praline, Cocoa provide a lasting and memorable impression.",Need floral with Tuberose for casual,"Orange, Lavender, Tuberose, Jasmine, Incense, Praline, Cocoa"
5702,Thierry Mugler,Dream Absolute,Thierry Mugler Dream Absolute,Pour Homme,Fresh,"Orange, Lavender, Grapefruit, Peach","Magnolia, Honeysuckle, Violet","Tonka Bean, Patchouli","casual, date night","sophisticated, fresh","Thierry Mugler Dream Absolute is a captivating Fresh fragrance. It opens with vibrant notes of Orange, Lavender, Grapefruit and Peach. The heart reveals Magnolia, Honeysuckle and Violet. Base notes of Tonka Bean, Patchouli provide a lasting and memorable impression.",What has Tonka Bean and works for casual?,"Orange, Lavender, Grapefruit, Peach, Magnolia, Honeysuckle, Violet, Tonka Bean, Patchouli"
5703,Thierry Mugler,Rose Elixir,Thierry Mugler Rose Elixir,Pour Homme,Aromatic,"Grapefruit, Saffron, Blackcurrant, Orange","Orange Blossom, Ylang-ylang","Ambergris, Labdanum",evening,"mysterious, luxurious","Thierry Mugler Rose Elixir is a captivating Aromatic fragrance. It opens with vibrant notes of Grapefruit, Saffron, Blackcurrant and Orange. The heart reveals Orange Blossom and Ylang-ylang. Base notes of Ambergris, Labdanum provide a lasting and memorable impression.","Something perfect for evening, makes me feel mysterious","Grapefruit, Saffron, Blackcurrant, Orange, Orange Blossom, Ylang-ylang, Ambergris, Labdanum"
5704,Valentino,Absolute,Valentino Absolute,Pour Femme,Woody,"Petitgrain, Pink Pepper","Orange Blossom, Freesia, Nutmeg","Amber, Oakmoss, Ambergris","fall, night out","relaxed, mysterious","Valentino Absolute is a captivating Woody fragrance. It opens with vibrant notes of Petitgrain and Pink Pepper. The heart reveals Orange Blossom, Freesia and Nutmeg. Base notes of Amber, Oakmoss, Ambergris provide a lasting and memorable impression.",Need woody with Orange Blossom for fall,"Petitgrain, Pink Pepper, Orange Blossom, Freesia, Nutmeg, Amber, Oakmoss, Ambergris"
